PMID,CONSORT_item,is_reported
2646895,7b,N
2646895,8a,N
2646895,8b,Y
2646895,9,N
2646895,10,N
2646895,11a,Y
2646895,11b,N
2646895,12a,Y
2646895,12b,N
2646896,3a,N
2646896,3b,N
2646896,4a,Y
2646896,4b,N
2646896,5,Y
2646896,6a,Y
2646896,6b,N
2646896,7a,N
2646896,7b,N
2646896,8a,N
2646896,8b,N
2646896,9,Y
2646896,10,N
2646896,11a,N
2646896,11b,Y
2646896,12a,Y
2646896,12b,N
2646988,3a,N
2646988,3b,N
2646988,4a,Y
2646988,4b,N
2646988,5,Y
2646988,6a,Y
2646988,6b,N
2646988,7a,N
2646988,7b,N
2646988,8a,N
2646988,8b,N
2646988,9,N
2646988,10,N
2646988,11a,Y
2646988,11b,N
2646988,12a,Y
2646988,12b,N
2646997,3a,Y
2646997,3b,N
2646997,4a,Y
2646997,4b,N
2646997,5,Y
2646997,6a,Y
2646997,6b,N
2646997,7a,N
2646997,7b,N
2646997,8a,N
2646997,8b,N
2646997,9,N
2646997,10,N
2646997,11a,Y
2646997,11b,N
2646997,12a,Y
2646997,12b,N
2647007,3a,N
2647007,3b,N
2647007,4a,Y
2647007,4b,Y
2647007,5,Y
2647007,6a,Y
2647007,6b,N
2647007,7a,N
2647007,7b,N
2647007,8a,Y
2647007,8b,N
2647007,9,N
2647007,10,N
2647007,11a,N
2647007,11b,N
2647007,12a,Y
2647007,12b,N
2647294,3a,Y
2647294,3b,N
2647294,4a,Y
2647294,4b,N
2647294,5,Y
2647294,6a,Y
2647294,6b,N
2647294,7a,N
2647294,7b,N
2647294,8a,N
2647294,8b,Y
2647294,9,N
2647294,10,N
2647294,11a,N
2647294,11b,N
2647294,12a,Y
2647294,12b,N
2647360,3a,N
2647360,3b,N
2647360,4a,N
2647360,4b,N
2647360,5,N
2647360,6a,Y
2647360,6b,N
2647360,7a,N
2647360,7b,N
2647360,8a,N
2647360,8b,N
2647360,9,N
2647360,10,N
2647360,11a,N
2647360,11b,N
2647360,12a,Y
